Ts,x,y,label,life
305,2.29810,-0.00846,1.0,42
306,2.29810,-0.00846,1.0,42
307,2.29810,-0.00846,1.0,42
308,2.29810,-0.00846,1.0,42
313,2.29810,-0.00846,0.1,0
317,2.29810,-0.00846,0.1,0
322,2.29810,-0.00846,0.1,0
325,2.29810,-0.00846,1.0,42
326,2.29810,-0.00846,1.0,42
330,2.29810,-0.00846,0.1,0
335,2.29810,-0.00846,0.1,0
347,2.29810,-0.00846,0.1,0
352,2.29810,-0.00846,0.1,0
364,2.29810,-0.00846,0.1,0
377,2.29810,-0.00846,1.0,42
378,2.29810,-0.00846,1.0,42
381,2.29810,-0.00846,0.1,0
383,2.29810,-0.00846,0.1,0
389,2.29810,-0.00846,1.0,42
390,2.29810,-0.00846,1.0,42
391,2.29810,-0.00846,1.0,42
392,2.29810,-0.00846,1.0,42
393,2.29810,-0.00846,1.0,42
397,2.29810,-0.00846,0.1,0
404,2.29810,-0.00846,0.1,0
408,2.29810,-0.00846,0.1,0
417,2.29810,-0.00846,0.1,0
428,2.29810,-0.00846,1.0,42
429,2.29810,-0.00846,1.0,42
430,2.29810,-0.00846,1.0,42
431,2.29810,-0.00846,1.0,42
434,2.29810,-0.00846,0.1,0
439,2.29810,-0.00846,0.1,0
441,2.29810,-0.00846,0.1,0
463,2.29810,-0.00846,0.1,0
465,2.29810,-0.00846,0.1,0
469,2.29810,-0.00846,0.1,0
472,2.29810,-0.00846,0.1,0
480,2.29810,-0.00846,1.0,42
481,2.29810,-0.00846,1.0,42
486,2.29810,-0.00846,1.0,42
487,2.29810,-0.00846,1.0,42
4,2.39008,0.00746,0.1,0
10,2.39008,0.00746,0.1,0
15,2.39008,0.00746,0.1,0
18,2.39008,0.00746,1.0,49
19,2.39008,0.00746,1.0,49
20,2.39008,0.00746,1.0,49
21,2.39008,0.00746,1.0,49
30,2.39008,0.00746,1.0,49
31,2.39008,0.00746,1.0,49
36,2.39008,0.00746,0.1,0
43,2.39008,0.00746,0.1,0
52,2.39008,0.00746,1.0,49
53,2.39008,0.00746,1.0,49
54,2.39008,0.00746,1.0,49
68,2.39008,0.00746,0.1,0
73,2.39008,0.00746,1.0,49
74,2.39008,0.00746,1.0,49
75,2.39008,0.00746,1.0,49
79,2.39008,0.00746,0.1,0
88,2.39008,0.00746,0.1,0
91,2.39008,0.00746,0.1,0
98,2.39008,0.00746,0.1,0
102,2.39008,0.00746,1.0,49
103,2.39008,0.00746,1.0,49
104,2.39008,0.00746,1.0,49
109,2.39008,0.00746,1.0,49
110,2.39008,0.00746,1.0,49
111,2.39008,0.00746,1.0,49
122,2.39008,0.00746,0.1,0
148,2.39008,0.00746,0.1,0
156,2.39008,0.00746,0.1,0
159,2.39008,0.00746,1.0,49
160,2.39008,0.00746,1.0,49
162,2.39008,0.00746,0.1,0
169,2.39008,0.00746,0.1,0
179,2.39008,0.00746,0.1,0
183,2.39008,0.00746,0.1,0
193,2.39008,0.00746,0.1,0
198,2.39008,0.00746,1.0,49
199,2.39008,0.00746,1.0,49
206,2.39008,0.00746,1.0,49
207,2.39008,0.00746,1.0,49
214,2.39008,0.00746,1.0,49
215,2.39008,0.00746,1.0,49
216,2.39008,0.00746,1.0,49
217,2.39008,0.00746,1.0,49
224,2.39008,0.00746,1.0,49
225,2.39008,0.00746,1.0,49
