,xp,yp,life
746,2.925566,0.028972,1
749,2.062577,-0.002479,3
750,1.286445,-0.049199,17
751,1.882424,0.015676,11
752,1.766806,0.000863,12
753,3.357048,0.016759,21
754,4.145686,0.036094,4
756,3.96101,0.032048,1
757,3.011774,0.012315,1
758,1.969503,0.027134,7
760,1.408348,-0.083138,1
761,2.388373,-0.06967,12
762,1.90653,0.023501,9
763,3.257561,0.01046,1
764,2.378292,-0.062044,12
766,2.944486,0.035967,10
768,3.415152,0.001695,17
770,2.210231,-0.038944,7
771,1.507426,-0.060069,6
772,2.685647,-0.001381,3
773,2.743844,0.003238,4
775,2.574433,-0.03152,7
776,1.302624,-0.060899,18
777,2.925566,0.028972,11
778,1.703084,-0.019258,8
780,2.594033,-0.024594,14
781,3.286972,0.033694,18
782,2.487772,-0.071249,5
783,1.848081,0.006183,15
784,3.153744,0.064436,17
785,2.91247,0.019147,4
786,2.505241,-0.047404,2
787,2.106583,-0.019049,12
789,2.690427,0.015925,2
792,2.964618,0.037608,16
794,3.46822,0.02196,1
795,1.607174,-0.03003,14
796,2.77095,0.02168,4
798,2.504173,-0.067785,8
799,1.509171,-0.071306,1
800,4.145686,0.036094,5
801,2.770457,0.025557,2
802,2.062577,-0.002479,13
803,2.320992,-0.061228,15
805,1.537297,-0.060202,11
806,3.232462,0.063295,14
807,1.333958,-0.046723,1
808,2.685647,-0.001381,4
809,2.743844,0.003238,4
810,3.429441,3.8e-05,12
811,2.472779,-0.078629,5
814,2.271182,-0.040393,1
815,2.91247,0.019147,3
818,1.509171,-0.071306,3
820,1.77721,0.002664,8
823,2.891517,0.030004,14
824,3.648756,0.061264,10
826,2.271182,-0.040393,10
827,1.882424,0.015676,10
828,2.411105,-0.065368,5
830,2.690427,0.015925,12
831,1.333958,-0.046723,5
832,2.574433,-0.03152,13
833,2.487772,-0.071249,13
837,3.090845,0.07086,2
838,1.969503,0.027134,9
839,1.90653,0.023501,6
840,1.766806,0.000863,5
841,1.509171,-0.071306,2
842,2.944486,0.035967,8
844,2.342069,-0.063917,14
845,3.674029,0.055529,1
846,2.210231,-0.038944,12
847,1.507426,-0.060069,6
848,1.25747,-0.056109,8
850,4.145686,0.036094,14
851,2.472779,-0.078629,10
855,2.77095,0.02168,13
856,1.286262,-0.060183,10
858,2.770457,0.025557,8
859,3.090845,0.07086,3
862,2.504173,-0.067785,11
863,2.925566,0.028972,12
864,1.288682,-0.064484,7
865,1.509171,-0.071306,6
867,1.649137,-0.033046,6
868,3.457656,0.012895,2
871,2.106583,-0.019049,1
873,1.286445,-0.049199,10
874,2.378292,-0.062044,14
875,3.587459,0.060373,4
877,2.388373,-0.06967,10
878,1.333958,-0.046723,2
879,3.521217,0.029814,3
880,3.813497,0.023385,2
882,2.76915,0.039141,1
883,3.457656,0.012895,3
884,2.594033,-0.024594,9
885,1.766806,0.000863,7
886,3.429441,3.8e-05,3
887,1.848081,0.006183,5
890,1.703084,-0.019258,8
891,2.02939,0.030334,9
892,1.90653,0.023501,9
893,3.261869,0.030369,1
895,2.411105,-0.065368,11
896,2.91247,0.019147,2
897,2.940132,0.022,2
899,3.415152,0.001695,1
900,3.791201,0.065003,16
901,1.507426,-0.060069,5
902,2.271182,-0.040393,4
903,3.286972,0.033694,3
904,3.357048,0.016759,10
905,3.662236,0.102744,13
906,1.77721,0.002664,6
907,1.822496,0.024556,1
908,1.607174,-0.03003,4
909,3.74966,0.078387,12
910,3.171876,0.017694,8
912,3.201266,0.023684,4
913,1.947801,0.041408,3
914,2.944486,0.035967,7
915,2.964618,0.037608,7
916,3.46822,0.02196,3
917,3.061227,0.01934,6
918,3.261869,0.030369,1
919,3.107201,0.025244,9
920,1.333958,-0.046723,5
921,2.685647,-0.001381,3
922,3.257561,0.01046,7
923,3.457656,0.012895,7
925,2.91247,0.019147,1
926,1.350723,-0.036349,2
929,1.288682,-0.064484,9
930,3.587459,0.060373,12
932,1.537297,-0.060202,8
933,3.521217,0.029814,12
934,2.574433,-0.03152,9
935,1.302624,-0.060899,9
936,2.487772,-0.071249,3
937,3.977539,0.029031,19
938,2.891517,0.030004,8
939,2.690427,0.015925,9
940,1.286262,-0.060183,8
941,1.882424,0.015676,7
944,1.509171,-0.071306,5
945,1.649137,-0.033046,6
946,1.704342,-0.03681,1
947,2.770457,0.025557,8
948,4.043084,0.04195,22
949,2.320992,-0.061228,9
950,3.973419,0.02765,22
951,2.271182,-0.040393,3
953,1.848081,0.006183,3
954,2.166175,-0.005263,2
955,1.947801,0.041408,4
956,1.969503,0.027134,1
957,2.210231,-0.038944,4
958,1.507426,-0.060069,5
959,3.201266,0.023684,4
960,3.429441,3.8e-05,8
961,2.504173,-0.067785,6
962,3.722553,0.104863,9
963,3.415152,0.001695,9
965,2.77095,0.02168,10
967,2.594033,-0.024594,8
968,2.065892,0.036728,2
969,2.925566,0.028972,6
971,2.940132,0.022,1
972,1.77721,0.002664,4
973,1.703084,-0.019258,8
974,1.286445,-0.049199,8
975,3.061227,0.01934,1
976,3.261869,0.030369,7
977,1.333958,-0.046723,8
978,2.487772,-0.071249,2
979,2.944486,0.035967,2
980,2.76915,0.039141,2
981,2.388373,-0.06967,8
982,1.607174,-0.03003,4
983,2.02939,0.030334,8
984,2.472779,-0.078629,4
985,2.964618,0.037608,1
987,1.90653,0.023501,8
989,3.286972,0.033694,3
990,1.766806,0.000863,2
992,4.145686,0.036094,6
993,3.886991,0.01079,2
994,2.411105,-0.065368,6
995,2.91247,0.019147,5
996,2.342069,-0.063917,8
997,1.969503,0.027134,7
998,3.061227,0.01934,10
1000,1.377665,-0.038237,3
1001,2.378292,-0.062044,7
1002,1.947801,0.041408,2
1003,2.940132,0.022,7
1005,2.534755,-0.07488,1
1006,2.210231,-0.038944,7
1007,2.271182,-0.040393,1
1008,2.065892,0.036728,2
1011,3.457656,0.012895,4
1012,1.537297,-0.060202,8
1014,1.507426,-0.060069,8
1015,3.201266,0.023684,7
1016,3.752344,0.112022,11
1017,2.487772,-0.071249,3
1018,1.848081,0.006183,8
1019,1.509171,-0.071306,5
1020,3.662236,0.102744,3
1021,1.77721,0.002664,5
1022,2.891517,0.030004,5
1023,3.96101,0.032048,7
1024,3.011774,0.012315,1
1025,3.860171,0.060289,8
1026,2.690427,0.015925,2
1027,3.171876,0.017694,8
1028,2.685647,-0.001381,8
1029,1.766806,0.000863,5
1030,2.574433,-0.03152,1
1031,2.504173,-0.067785,1
1032,1.288682,-0.064484,8
1034,2.472779,-0.078629,4
1036,3.46822,0.02196,6
1038,2.679079,-0.01662,5
1039,3.822776,0.08031,12
1040,3.357048,0.016759,8
1041,2.944486,0.035967,2
1042,2.534755,-0.07488,5
1044,2.594144,-0.047869,7
1045,3.257561,0.01046,4
1047,1.649137,-0.033046,7
1048,2.770457,0.025557,5
1049,3.983451,0.028772,10
1052,3.521217,0.029814,5
1053,1.302624,-0.060899,6
1054,2.925566,0.028972,6
1055,3.414015,0.028823,6
1057,1.703084,-0.019258,6
1058,2.77095,0.02168,6
1059,2.544457,-0.083753,5
1060,2.271182,-0.040393,5
1061,3.107201,0.025244,5
1063,3.587459,0.060373,3
1064,2.062577,-0.002479,2
1065,2.106583,-0.019049,1
1068,3.800744,0.105652,4
1069,2.622676,-0.045316,4
1070,2.964618,0.037608,5
1071,2.91247,0.019147,3
1072,2.342069,-0.063917,8
1074,1.969503,0.027134,1
1075,1.766806,0.000863,4
1076,2.487772,-0.071249,1
1077,2.472779,-0.078629,4
1078,1.77721,0.002664,5
1080,1.607174,-0.03003,1
1082,2.210231,-0.038944,5
1083,3.261869,0.030369,1
1086,2.378292,-0.062044,8
1087,1.509171,-0.071306,4
1088,4.077493,0.03486,8
1089,2.602214,-0.071786,1
1091,2.679079,-0.01662,3
1092,3.061227,0.01934,1
1094,1.882424,0.015676,7
1095,2.743844,0.003238,2
1096,1.848081,0.006183,5
1097,1.408348,-0.083138,5
1098,2.770457,0.025557,3
1101,3.46822,0.02196,8
1102,1.929005,0.002333,5
1103,2.388373,-0.06967,5
1105,1.445298,-0.088036,1
1106,2.944486,0.035967,4
1108,3.457656,0.012895,4
1109,3.662236,0.102744,10
1110,3.720331,0.147763,6
1111,2.411105,-0.065368,9
1113,1.534903,-0.081267,4
1114,2.106583,-0.019049,4
1117,3.171876,0.017694,9
1118,3.107201,0.025244,8
1119,3.977539,0.029031,2
1120,2.062577,-0.002479,3
1124,2.320992,-0.061228,9
1125,3.860171,0.060289,2
1126,2.817948,0.045222,7
1128,2.534755,-0.07488,1
1129,3.061227,0.01934,8
1131,3.521217,0.029814,9
1132,2.925566,0.028972,8
1133,2.477987,-0.055868,4
1135,3.357048,0.016759,9
1136,3.587459,0.060373,10
1137,2.76915,0.039141,2
1138,2.690427,0.015925,4
1139,2.17683,-0.04719,2
1140,1.637741,-0.054918,1
1141,2.685647,-0.001381,1
1142,1.547611,-0.08938,1
1143,1.509171,-0.071306,5
1144,2.769812,0.0526,3
1145,3.886991,0.01079,3
1146,1.822496,0.024556,2
1148,2.210231,-0.038944,7
1149,2.040003,-0.010849,1
1150,2.594033,-0.024594,2
1152,2.835077,0.043194,6
1153,1.445298,-0.088036,7
1155,4.145686,0.036094,7
1157,3.860171,0.060289,3
1160,1.649137,-0.033046,9
1161,2.472779,-0.078629,5
1162,3.921398,0.008669,5
1165,2.940132,0.022,1
1166,2.342069,-0.063917,16
1168,1.537297,-0.060202,10
1169,1.77721,0.002664,4
1170,1.747505,-0.021443,1
1171,1.416947,-0.099706,2
1172,2.594144,-0.047869,6
1173,3.201266,0.023684,6
1175,3.822776,0.08031,6
1176,2.944486,0.035967,2
1177,4.156077,0.024185,16
1179,3.983997,-0.009067,5
1180,1.969503,0.027134,16
1181,1.607174,-0.03003,3
1182,4.009675,0.0027,5
1184,2.271182,-0.040393,8
1186,2.065892,0.036728,8
1187,3.257561,0.01046,5
1188,3.800744,0.105652,4
1189,2.487772,-0.071249,11
1190,2.76915,0.039141,4
1191,1.408348,-0.083138,11
1193,1.90653,0.023501,8
1194,2.534755,-0.07488,7
1195,1.507426,-0.060069,3
1196,4.110236,0.012349,15
1197,4.180954,0.041195,24
1199,2.504173,-0.067785,12
1200,2.378292,-0.062044,13
1202,2.91247,0.019147,4
1204,1.822496,0.024556,1
1205,2.679079,-0.01662,10
1206,2.685647,-0.001381,3
1207,1.766806,0.000863,9
1208,4.095674,0.000965,16
1210,2.770457,0.025557,2
1211,1.342107,-0.090527,9
1212,3.46822,0.02196,5
1213,3.011774,0.012315,3
1214,1.416947,-0.099706,3
1215,3.261869,0.030369,1
1217,1.509171,-0.071306,12
1218,2.940132,0.022,3
1219,3.026107,0.006696,2
1220,1.77721,0.002664,7
1221,1.703084,-0.019258,11
1222,3.171876,0.017694,4
1223,1.882424,0.015676,10
1224,3.110805,-0.000825,2
1225,2.166175,-0.005263,11
1226,1.947801,0.041408,1
1227,3.457656,0.012895,3
1229,3.886991,0.01079,2
1231,2.388373,-0.06967,10
1233,2.77095,0.02168,8
1234,4.190997,0.029824,17
1235,4.145686,0.036094,25
1237,2.891517,0.030004,5
1239,3.415152,0.001695,2
1241,2.721304,-0.012866,5
1242,3.429441,3.8e-05,2
1243,3.788728,0.130239,1
1244,1.848081,0.006183,2
1245,2.622676,-0.045316,5
