Ts,x,y,label,life
36,1.35836,-0.04852,1.0,4
37,1.35836,-0.04852,1.0,4
38,1.35836,-0.04852,1.0,4
39,1.35836,-0.04852,1.0,4
40,1.35836,-0.04852,1.0,4
61,1.35861,-0.21200,1.0,3
62,1.35861,-0.21200,1.0,3
63,1.35861,-0.21200,1.0,3
64,1.35861,-0.21200,1.0,3
0,1.36321,0.00457,1.0,1
1,1.36321,0.00457,1.0,1
2,1.36345,0.00326,1.0,8
3,1.36345,0.00326,1.0,8
4,1.36345,0.00326,1.0,8
5,1.36345,0.00326,1.0,8
6,1.36345,0.00326,1.0,8
7,1.36345,0.00326,1.0,8
8,1.36345,0.00326,1.0,8
9,1.36345,0.00326,1.0,8
10,1.36345,0.00326,1.0,8
41,1.37198,-0.08855,1.0,2
42,1.37198,-0.08855,1.0,2
43,1.37198,-0.08855,1.0,2
65,1.37575,-0.22021,0.0,0
55,1.37881,-0.17989,1.0,4
56,1.37881,-0.17989,1.0,4
57,1.37881,-0.17989,1.0,4
58,1.37881,-0.17989,1.0,4
59,1.37881,-0.17989,1.0,4
42,1.38759,-0.07908,1.0,10
43,1.38759,-0.07908,1.0,10
44,1.38759,-0.07908,1.0,10
45,1.38759,-0.07908,1.0,10
46,1.38759,-0.07908,1.0,10
47,1.38759,-0.07908,1.0,10
48,1.38759,-0.07908,1.0,10
49,1.38759,-0.07908,1.0,10
50,1.38759,-0.07908,1.0,10
51,1.38759,-0.07908,1.0,10
52,1.38759,-0.07908,1.0,10
50,1.39084,-0.08558,1.0,2
51,1.39084,-0.08558,1.0,2
52,1.39084,-0.08558,1.0,2
44,1.39886,-0.09199,1.0,3
45,1.39886,-0.09199,1.0,3
46,1.39886,-0.09199,1.0,3
47,1.39886,-0.09199,1.0,3
38,1.41146,-0.04197,1.0,2
39,1.41146,-0.04197,1.0,2
40,1.41146,-0.04197,1.0,2
68,1.41422,-0.11878,1.0,3
69,1.41422,-0.11878,1.0,3
70,1.41422,-0.11878,1.0,3
71,1.41422,-0.11878,1.0,3
43,1.42100,-0.07977,0.0,0
5,1.42217,0.01128,1.0,25
6,1.42217,0.01128,1.0,25
7,1.42217,0.01128,1.0,25
8,1.42217,0.01128,1.0,25
9,1.42217,0.01128,1.0,25
10,1.42217,0.01128,1.0,25
11,1.42217,0.01128,1.0,25
12,1.42217,0.01128,1.0,25
13,1.42217,0.01128,1.0,25
14,1.42217,0.01128,1.0,25
15,1.42217,0.01128,1.0,25
16,1.42217,0.01128,1.0,25
17,1.42217,0.01128,1.0,25
18,1.42217,0.01128,1.0,25
19,1.42217,0.01128,1.0,25
20,1.42217,0.01128,1.0,25
21,1.42217,0.01128,1.0,25
22,1.42217,0.01128,1.0,25
23,1.42217,0.01128,1.0,25
24,1.42217,0.01128,1.0,25
25,1.42217,0.01128,1.0,25
26,1.42217,0.01128,1.0,25
27,1.42217,0.01128,1.0,25
28,1.42217,0.01128,1.0,25
29,1.42217,0.01128,1.0,25
30,1.42217,0.01128,1.0,25
54,1.42865,-0.12694,0.0,0
58,1.43414,-0.15311,1.0,5
59,1.43414,-0.15311,1.0,5
60,1.43414,-0.15311,1.0,5
61,1.43414,-0.15311,1.0,5
62,1.43414,-0.15311,1.0,5
63,1.43414,-0.15311,1.0,5
58,1.43543,-0.13809,1.0,5
59,1.43543,-0.13809,1.0,5
60,1.43543,-0.13809,1.0,5
61,1.43543,-0.13809,1.0,5
